label,detail,documentation,kind
read1,read bytes from a file or process handle,read1[hsym|(hsym;offset;length)],2
reciprocal,reciprocal,reciprocal[numbers],2
reval,evaluate a parse tree in read only mode,reval[list],2
reverse,reverse a list,reverse[list],2
rload,load a splayed table,rload[dir],2
rotate,rotate a list,rotate[int;list],2
rsave,save as a splayed table to pwd,rsave[sym],2
rtrim,trim tailing spaces,rtrim[string],2
save,save to pwd,save[sym],2
scan,apply progressively and :all evaluations,scan[v1|vv;list],2
scov,sample covariance,scov[numbers;numbers],2
sdev,sample standard deviation,sdev[numbers],2
select,select rows and columns as a table,"select col1,col2 [by col3] from table [where cond]",2
set,assign a value to a variable or file,set[sym|file|dir;any],2
setenv,set an environment variable,setenv[sym;string],2
show,display at the console,show[any],2
signum,sign,signum[numbers],2
sqrt,square root,sqrt[numbers],2
ss,string search,ss[string;pattern],2
ssr,string search and replace,ssr[string;pattern;string|function],2
string,cast to string,string[any],2
sublist,select a sublist,sublist[int;list],2
sum,total,sum[numbers],2
sums,running sums,sums[numbers],2
sv,concatenate strings|syms,sv[sting;strings]|sv[`;syms]|sv[numbers;numbers],2
svar,sample variance,svar[numbers],2
system,execute a system command,system[string],2
tables,list tables,tables[namespace sym],2
tan,tangent,tan[numbers],2
til,generate long sequence,til[long],2
trim,trim leading and trailing spaces,trim[string],2
type,datatype,type[x],2
uj,union join,uj[table;table],2
ujf,union join(ignore nulls from RHS),ujf[table;table],2
ungroup,ungroup list type columns in a table into rows,ugroup[table],2
union,union of two lists,union[list;list],2
update,amend table|dict,"update col1,col2 [by col3] from table [where cond]",2
upper,upper case,upper[sym|string],2
upsert,add new records,upsert[table|sym;records|table],2
value,value,value[symbol|string|list|dict],2
var,variance,var[numbers],2
view,expression defining a view,view[sym],2
views,list veiws defined,views[namespace sym],2
vs,split string|symbol,vs[sting;string]|sv[`;sym|dir]|sv[number;number],2
wavg,weighted average,wavg[weights;numbers],2
where,to indices,where[numbers]|where[booleans],2
while,evaluate expression repeatedly,while[test;e1;e2...],2
within,check bounds,within[list;range],2
wj,window join(consider prevailing quotes before window),wj[windows;syms;table;(table;(aggr;sym)<;(aggr;sym)>)],2
wj1,window join(consider quotes after entry to the window),wj[windows;syms;table;(table;(aggr;sym)<;(aggr;sym)>)],2
wsum,weighted sum,wsum[weights;numbers],2
xasc,ascending sort table by columns,xasc[syms;table],2
xcol,rename columns,xcol[syms;table],2
xcols,reorder columns,xcols[syms;table],2
xdesc,descending sort table by columns,xdesc[syms;table],2
xexp,power,xexp[bases;powers],2
xlog,logarithm,xlog[bases;numbers],2
xprev,shift each to prev by number,xprev[int;list],2
xbar,round down to multiples,xbar[base;numbers|termporals],2
xgroup,group by values in selected columns,xgroup[syms;table],2
xkey,set key columns,xkey[syms;table],2
xrank,group by value,xrank[int;list],2
